from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
74,74,,,10799810,10799716,1,
124,124,,,10799515,10799735,1,
124,124,,,10799605,10799750,1,
140,140,,,10799605,10799750,1,
140,140,,,10799607,10799754,1,
124,124,,,10799453,10799760,1,
74,74,,,10800002,10799764,1,
74,74,,,10800034,10799765,1,
74,74,,,10800035,10799766,1,
124,124,,,10799447,10799772,1,
124,124,,,10799524,10799773,1,
74,74,,,10800044,10799806,1,
74,74,,,10800047,10799808,1,
74,74,,,10799919,10799818,1,
74,74,,,10799752,10799822,1,
33,33,,,10800125,10799831,1,
94,94,,,10799820,10799870,1,
74,74,,,10799752,10799872,1,
94,94,,,10799824,10799873,1,
94,94,,,10799827,10799874,1,
74,74,,,10800004,10799882,1,
74,74,,,10799810,10799885,1,
74,74,,,10800025,10799931,1,
74,74,,,10800027,10799934,1,
74,74,,,10800029,10799938,1,
74,74,,,10800030,10799948,1,
74,74,,,10800031,10799954,1,
74,74,,,10800032,10799957,1,
74,74,,,10800033,10799959,1,
74,74,,,10800036,10799975,1,
74,74,,,10800037,10799979,1,
74,74,,,10800038,10799981,1,
74,74,,,10800039,10799984,1,
74,74,,,10800041,10799989,1,
74,74,,,10800049,10799996,1,
74,74,,,10800050,10799997,1,
74,74,,,10800051,10799998,1,
74,74,,,10799881,10800003,1,
74,74,,,10799883,10800005,1,
74,74,,,10799884,10800007,1,
62,62,,,10799713,10800008,1,
74,74,,,10799713,10800008,1,
62,62,,,10799714,10800009,1,
74,74,,,10799714,10800009,1,
62,62,,,10799889,10800011,1,
74,74,,,10799889,10800011,1,
74,74,,,10799892,10800012,1,
74,74,,,10799893,10800013,1,
74,74,,,10799894,10800014,1,
74,74,,,10799897,10800015,1,
74,74,,,10799903,10800016,1,
74,74,,,10799905,10800017,1,
74,74,,,10799913,10800019,1,
74,74,,,10799928,10800023,1,
74,74,,,10799743,10800024,1,
74,74,,,10799745,10800026,1,
74,74,,,10799933,10800028,1,
74,74,,,10799986,10800040,1,
74,74,,,10799990,10800042,1,
74,74,,,10799991,10800045,1,
74,74,,,10799807,10800046,1,
74,74,,,10799995,10800048,1,
74,74,,,10799999,10800052,1,
33,33,,,10800119,10800057,1,
33,33,,,10800128,10800071,1,
33,33,,,10800134,10800074,1,
33,33,,,10800139,10800078,1,
33,33,,,10800141,10800080,1,
27,27,,,10800146,10800084,1,
33,33,,,10800146,10800084,1,
27,27,,,10800147,10800086,1,
33,33,,,10800147,10800086,1,
27,27,,,10800149,10800088,1,
33,33,,,10800149,10800088,1,
27,27,,,10800151,10800090,1,
33,33,,,10800151,10800090,1,
27,27,,,10800153,10800093,1,
33,33,,,10800153,10800093,1,
27,27,,,10800155,10800096,1,
33,33,,,10800155,10800096,1,
27,27,,,10800156,10800099,1,
33,33,,,10800156,10800099,1,
27,27,,,10800158,10800101,1,
33,33,,,10800158,10800101,1,
27,27,,,10800160,10800102,1,
33,33,,,10800160,10800102,1,
27,27,,,10800161,10800103,1,
33,33,,,10800161,10800103,1,
27,27,,,10800163,10800105,1,
33,33,,,10800163,10800105,1,
18,18,,,10800165,10800107,1,
27,27,,,10800165,10800107,1,
33,33,,,10800165,10800107,1,
18,18,,,10800166,10800109,1,
27,27,,,10800166,10800109,1,
33,33,,,10800166,10800109,1,
18,18,,,10800167,10800111,1,
27,27,,,10800167,10800111,1,
33,33,,,10800167,10800111,1,
33,33,,,10800168,10800112,1,
33,33,,,10800170,10800114,1,
11,11,,,10800058,10800120,1,
18,18,,,10800058,10800120,1,
27,27,,,10800058,10800120,1,
33,33,,,10800058,10800120,1,
11,11,,,10800060,10800121,1,
18,18,,,10800060,10800121,1,
27,27,,,10800060,10800121,1,
33,33,,,10800060,10800121,1,
11,11,,,10800061,10800123,1,
18,18,,,10800061,10800123,1,
27,27,,,10800061,10800123,1,
