stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
400242,"ADAM C POWELL BL/W 147 ST",,  40.823105, -73.937789,,,0,
400248,"EDGECOMBE AV/W 155 ST",,  40.830904, -73.940279,,,0,
400249,"EDGECOMBE AV/W 158 ST",,  40.832912, -73.939461,,,0,
400250,"EDGECOMBE AV/W 160 ST",,  40.834045, -73.938133,,,0,
400251,"EDGECOMBE AV/W 162 ST",,  40.835242, -73.937496,,,0,
400252,"EDGECOMBE AV/W 164 ST",,  40.836657, -73.936852,,,0,
400258,"BROADWAY/W 168 ST",,  40.841041, -73.939971,,,0,
400259,"W 166 ST/ST NICHOLAS AV",,  40.839624, -73.940184,,,0,
400263,"EDGECOMBE AV/W 164 ST",,  40.836219, -73.937231,,,0,
400264,"EDGECOMBE AV/W 162 ST",,  40.835011, -73.937775,,,0,
400265,"EDGECOMBE AV/W 160 ST",,  40.833653, -73.938817,,,0,
400266,"EDGECOMBE AV/W 158 ST",,  40.832421, -73.939905,,,0,
400267,"EDGECOMBE AV/W 155 ST",,  40.830618, -73.940438,,,0,
400268,"W 155 ST/EDGECOMBE AV",,  40.830182, -73.939846,,,0,
400271,"ADAM C POWELL BL/W 154 ST",,  40.827305, -73.935386,,,0,
400272,"ADAM C POWELL BL/W 151 ST",,  40.826047, -73.936048,,,0,
400273,"ADAM C POWELL BL/W 149 ST",,  40.824628, -73.937101,,,0,
400274,"ADAM C POWELL BL/W 148 ST",,  40.823366, -73.938028,,,0,
400275,"ADAM C POWELL BL/W 145 ST",,  40.821387, -73.939471,,,0,
400276,"ADAM C POWELL BL/W 142 ST",,  40.819535, -73.940820,,,0,
400277,"ADAM C POWELL BL/W 140 ST",,  40.818303, -73.941721,,,0,
400278,"ADAM C POWELL BL/W 138 ST",,  40.817028, -73.942661,,,0,
400279,"ADAM C POWELL BL/W 135 ST",,  40.815277, -73.943909,,,0,
400280,"ADAM C POWELL BL/W 132 ST",,  40.813155, -73.945461,,,0,
400281,"ADAM C POWELL BL/W 130 ST",,  40.812037, -73.946257,,,0,
400282,"ADAM C POWELL BL/W 128 ST",,  40.810701, -73.947255,,,0,
400283,"ADAM C POWELL BL/W 125 ST",,  40.809180, -73.948379,,,0,
400284,"ADAM C POWELL BL/W 122 ST",,  40.806837, -73.950097,,,0,
400285,"ADAM C POWELL BL/W 120 ST",,  40.805602, -73.950997,,,0,
400287,"ADAM C POWELL BL/W 116 ST",,  40.803591, -73.952433,,,0,
400288,"ADAM C POWELL BL/W 114 ST",,  40.801714, -73.953836,,,0,
400289,"ADAM C POWELL BL/W 112 ST",,  40.800460, -73.954750,,,0,
400290,"CENTRAL PK N/ADAM C POWELL BL",,  40.799173, -73.954860,,,0,
400292,"CENTRAL PK N/5 AV",,  40.796597, -73.949515,,,0,
400322,"5 AV/W 39 ST",,  40.751310, -73.982589,,,0,
400323,"5 AV/W 35 ST",,  40.749477, -73.983921,,,0,
400324,"5 AV/W 33 ST",,  40.747494, -73.985338,,,0,
400325,"5 AV/W 31 ST",,  40.746263, -73.986268,,,0,
